CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
689141,CR-0000094998,0,0,0,0,22-314-0995,False,False,0.0,11/10/2022 11:18:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,63425,FOXWORTHY AV,OLD ALMADEN RD,37.27848196,-121.8782492
689012,CR-0000094872,0,0,0,0,22-264-9708,False,True,,9/21/2022 2:23:00 PM,No Pedestrians Involved,Unknown,No Unusual Conditions,Daylight,Unknown,No Controls Present/Factor,Unknown,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,True,14970,BAYSHORE FR,MCKEE RD,37.35460422,-121.865703
690082,CR-0000096155,0,0,0,0,22-201-9703,False,True,0.0,7/19/2022 3:06:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,14970,BAYSHORE FR,MCKEE RD,37.35460422,-121.865703
690187,CR-0000096277,0,0,0,0,22-156-4000,False,True,0.0,6/4/2022 11:04:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Intersection,Unknown,Not Applicable,Not Applicable,At,,False,True,14970,BAYSHORE FR,MCKEE RD,37.35460422,-121.865703
722145,CR-0000103411,0,0,0,0,24-073-0142,False,False,51.0,3/13/2024 9:17:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,89594,MCKEE RD,THIRTY THIRD ST,37.35599341,-121.8637975
689738,CR-0000095750,0,0,0,0,23-079-0547,False,False,0.0,3/20/2023 2:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,At,,True,True,89594,MCKEE RD,THIRTY THIRD ST,37.35599341,-121.8637975
681890,CR-0000091372,1,1,0,0,22-035-0786,False,False,36.0,2/4/2022 6:46:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Broadside,Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,True,True,75756,IRONWOOD DR,RINCONADA DR,37.28861467,-121.8795332
698888,CR-0000100186,1,0,0,0,23-307-0733,False,False,0.0,11/3/2023 5:55:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,37784,CHERRY AV,MINNESOTA AV,37.30116483,-121.9040007
696177,CR-0000099320,0,1,0,0,23-140-0744,False,False,0.0,5/20/2023 7:35:00 PM,Crossing In Crosswalk - At Intersection,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Pedestrian,Intersection,Pedestrian,North,South,At,PED,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
690304,CR-0000096396,0,0,0,0,22-330-9703,False,True,0.0,11/19/2022 5:08:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Unknown,Controls Functioning,Clear,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
