"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"692507","CR-0000097796","0","0","0","0","23-075-0725","False","False","500.0","3/16/2023 6:05:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","True","54273","EDENVIEW DR","MONTEREY RD","37.26227714","-121.813465"
"690900","CR-0000097045","1","0","0","0","23-045-0714","False","False","0.0","2/14/2023 6:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","True","True","39126","CHYNOWETH AV/ROEDER RD","MONTEREY RD","37.260264","-121.8101455"
"690733","CR-0000096870","1","0","0","0","23-044-0591","False","False","0.0","2/13/2023 4:18:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","39126","CHYNOWETH AV/ROEDER RD","MONTEREY RD","37.260264","-121.8101455"
"692495","CR-0000097783","0","0","0","0","23-075-0351","False","False","106.0","3/15/2023 10:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of","","False","True","51644","DONNA LN","ROSS AV","37.26240212","-121.9159399"
"698895","CR-0000100193","0","1","0","0","23-326-0792","False","False","51.0","11/22/2023 7:24:00 PM","In Road - Includes Shoulder","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Unknown","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","West","East","East Of","PED","False","True","143997","CABANA DR","HURST AV","37.28763571","-121.918029"
"698758","CR-0000100039","0","0","0","0","23-362-0059","False","False","35.0","12/28/2023 2:00:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","True","True","82455","LAVONA DR","RUSSO DR","37.25079154","-121.879938"
"711679","CR-0000100825","0","0","0","0","23-184-0157","True","False","46.0","7/3/2023 5:08:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","West Of","TREE, LIGHTPOLE","False","True","73204","HILLSDALE AV","WOODMONT DR","37.27318371","-121.8867243"
"699101","CR-0000100417","0","0","0","0","23-174-0195","False","False","0.0","6/23/2023 7:01:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","52084","DOW DR","HILLSDALE AV","37.27891799","-121.868362"
"715900","CR-0000101864","0","0","0","0","23-140-4002","False","True","50.0","5/20/2023 9:00:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","True","19975","BLOSSOM HILL RD","CHAMBERTIN DR/DARTMOUTH DR","37.23918955","-121.8957677"
"696433","CR-0000099610","0","0","0","0","23-111-0886","True","False","0.0","4/21/2023 10:10:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Unknown","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","109340","SINCLAIR FR","TENTH ST","37.32790286","-121.871511"
"690593","CR-0000096714","0","0","1","0","23-029-0149","False","False","180.0","1/29/2023 3:05:00 AM","Not In Road","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","Unknown","Unknown","North Of","PED","False","True","108393","SEVENTH ST","VIRGINIA ST/I-280 SB","37.32707611","-121.8751722"
"695818","CR-0000098883","0","1","0","0","23-270-0148","False","False","0.0","9/27/2023 6:20:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Vehicle/Bike","Intersection","Scooter Motorized","Not Applicable","Not Applicable","At","E.SCOOTER","True","True","108393","SEVENTH ST","VIRGINIA ST/I-280 SB","37.32707611","-121.8751722"
"699394","CR-0000100723","0","0","0","0","23-189-0375","False","False","0.0","7/8/2023 11:31:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At","","True","True","21262","BOLADO DR","DEL RIO DR","37.22590816","-121.7809817"
"690864","CR-0000097006","0","0","0","0","23-013-0949","False","False","104.0","1/13/2023 11:59:00 PM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Rain","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of","","False","True","120823","KIPERASH CT","KIPERASH DR","37.38721437","-121.8468573"
