Latitude,Longitude,typeofdata
37.3376636,-121.8917366,police
37.3661434,-121.882996,police
37.3567832,-121.8840317,police
37.3554327,-121.8040496,police
37.3483448,-121.8895886,police
37.3146603,-121.8367391,police
37.3107017,-121.926632,police
37.28037399999999,-121.9122778,police
37.3308994,-121.8519393,police
37.33874,-121.8852525,police
37.3203724,-121.8289935,police
37.2804296,-121.8851135,police
37.2977498,-121.8375497,police
37.3060987,-121.8629815,police
37.3286147,-121.884892,police
37.3286147,-121.884892,police
37.3303913,-121.8544319,police
37.33874,-121.8852525,police
37.3291009,-121.8795732,police
37.352911,-121.8555667,police
37.3222235,-121.8730025,police
37.3291248,-121.8752763,police
37.2669266,-121.9418742,police
37.3412729,-121.8403212,police
37.3782339,-121.9382172,police
37.3193698,-121.7731764,police
37.3454051,-121.9163563,police
37.3048464,-121.9678467,police
37.3084326,-121.9746808,police
37.3269628,-121.8546611,police
37.3531566,-121.8356348,police
37.2341859,-121.9034943,police
37.3345593,-121.8764659,police
37.2576145,-121.9208808,police
37.4189694,-121.9491206,police
37.2513828,-121.8307781,police
37.3067763,-121.8998877,police
37.3193698,-121.7731764,police
37.3154315,-121.8628591,police
37.3369846,-121.8755533,police
37.33748509999999,-121.9184659,police
37.3724966,-121.8395014,police
37.3311101,-121.8128426,police
37.2479484,-121.8591287,police
37.3296299,-121.8579831,police
37.3308079,-121.8924181,police
37.3244886,-121.8244331,police
37.2498675,-121.861525,police
37.2755824,-121.8771465,police
37.3128233,-121.8791048,police
37.2531593,-121.8280005,police
37.3398996,-121.8430375,police
37.4020054,-121.9234352,police
37.4026827,-121.8855049,police
37.3132205,-121.8785326,police
37.3277666,-121.8324635,police
37.2977983,-121.9500194,police
37.2511203,-121.9052626,police
37.3233728,-121.9227717,police
37.3344836,-121.8547984,police
37.3291145,-121.8908094,police
37.3223091,-121.8258528,police
37.2547792,-121.8307506,police
37.3711573,-121.8412855,police
37.3391445,-121.8582861,police
37.3323427,-121.8537043,police
37.3700908,-121.8428454,police
37.2968445,-121.9544686,police
37.355783,-121.8355166,police
37.2825401,-121.8271632,police
37.3208317,-121.8719406,police
37.33874,-121.8852525,police
37.3588524,-121.8933317,police
37.30030720000001,-121.9321159,police
37.3470589,-121.8327162,police
37.3679524,-121.8373109,police
37.2537346,-121.8249076,police
37.3652376,-121.8500386,police
37.3474081,-121.8547976,police
37.3923436,-121.8593776,police
37.3227145,-121.8803064,police
37.3150795,-121.8365373,police
37.3173434,-121.854934,police
37.3233014,-121.9458487,police
37.2977788,-121.9544724,police
37.3210226,-121.8786243,police
37.3882654,-121.8619666,police
37.2725611,-121.9329571,police
37.2280281,-121.8696072,police
37.33874,-121.8852525,police
37.3189328,-121.8822276,police
37.2595706,-121.9470377,police
37.2215644,-121.8623082,police
37.3122488,-121.9478924,police
37.3497254,-121.8329258,police
37.3233014,-121.9458487,police
37.293338,-121.8332509,police
37.2916506,-121.9922933,police
37.3389747,-121.8357441,police
37.312255,-121.9165625,police
